id,datetime,from,to,communication,quality
45,2009-01-01 11:15:00,Ios,Ios,Call,Low
46,2009-01-01 11:30:00,Android,Ios,Message,Low
47,2009-01-01 11:45:00,Android,Android,Message,Low
48,2009-01-01 12:00:00,Android,Android,Call,High
49,2009-01-01 12:15:00,Ios,Android,Message,Low
50,2009-01-01 12:30:00,Android,Android,Call,Low
51,2009-01-01 12:45:00,Android,Android,Message,High
52,2009-01-01 13:00:00,Ios,Android,Message,Low
53,2009-01-01 13:15:00,Ios,Ios,Call,High
54,2009-01-01 13:30:00,Android,Ios,Message,High
55,2009-01-01 13:45:00,Ios,Ios,Call,High
56,2009-01-01 14:00:00,Android,Ios,Message,High
57,2009-01-01 14:15:00,Android,Ios,Message,Low
58,2009-01-01 14:30:00,Android,Ios,Call,Low
59,2009-01-01 14:45:00,Android,Android,Message,High
60,2009-01-01 15:00:00,Ios,Ios,Message,High
61,2009-01-01 15:15:00,Android,Android,Message,Low
62,2009-01-01 15:30:00,Ios,Ios,Message,Low
63,2009-01-01 15:45:00,Ios,Ios,Message,High
64,2009-01-01 16:00:00,Ios,Ios,Message,High
65,2009-01-01 16:15:00,Android,Android,Call,High
66,2009-01-01 16:30:00,Android,Ios,Call,Low
67,2009-01-01 16:45:00,Android,Android,Call,High
68,2009-01-01 17:00:00,Android,Ios,Call,Low
69,2009-01-01 17:15:00,Android,Ios,Call,Low
70,2009-01-01 17:30:00,Android,Android,Message,High
71,2009-01-01 17:45:00,Ios,Ios,Message,Low
72,2009-01-01 18:00:00,Android,Android,Message,Low
73,2009-01-01 18:15:00,Ios,Android,Message,High
74,2009-01-01 18:30:00,Android,Android,Message,Low
75,2009-01-01 18:45:00,Ios,Ios,Call,High
76,2009-01-01 19:00:00,Android,Ios,Message,High
77,2009-01-01 19:15:00,Ios,Ios,Message,Low
78,2009-01-01 19:30:00,Ios,Ios,Call,High
79,2009-01-01 19:45:00,Ios,Android,Message,High
80,2009-01-01 20:00:00,Android,Ios,Call,Low
81,2009-01-01 20:15:00,Ios,Android,Call,Low
82,2009-01-01 20:30:00,Android,Android,Message,Low
83,2009-01-01 20:45:00,Android,Android,Call,Low
84,2009-01-01 21:00:00,Ios,Ios,Message,Low
85,2009-01-01 21:15:00,Android,Android,Call,Low
86,2009-01-01 21:30:00,Android,Android,Call,High
87,2009-01-01 21:45:00,Ios,Ios,Call,Low
88,2009-01-01 22:00:00,Android,Ios,Message,Low
89,2009-01-01 22:15:00,Ios,Android,Call,High
90,2009-01-01 22:30:00,Ios,Ios,Message,High
91,2009-01-01 22:45:00,Ios,Ios,Call,High
92,2009-01-01 23:00:00,Android,Android,Call,High
93,2009-01-01 23:15:00,Ios,Android,Message,High
94,2009-01-01 23:30:00,Android,Ios,Message,Low
95,2009-01-01 23:45:00,Android,Ios,Message,High
96,2009-01-02 00:00:00,Android,Ios,Call,Low
97,2009-01-02 00:15:00,Android,Ios,Message,Low
98,2009-01-02 00:30:00,Android,Ios,Message,Low
99,2009-01-02 00:45:00,Ios,Android,Message,Low
100,2009-01-02 01:00:00,Android,Ios,Message,Low
101,2009-01-02 01:15:00,Android,Android,Message,High
102,2009-01-02 01:30:00,Ios,Ios,Message,High
103,2009-01-02 01:45:00,Android,Android,Call,High
104,2009-01-02 02:00:00,Android,Ios,Call,Low
105,2009-01-02 02:15:00,Ios,Ios,Call,High
106,2009-01-02 02:30:00,Android,Ios,Call,High
107,2009-01-02 02:45:00,Android,Android,Message,Low
108,2009-01-02 03:00:00,Ios,Android,Message,High
109,2009-01-02 03:15:00,Android,Android,Message,High
110,2009-01-02 03:30:00,Ios,Android,Call,Low
111,2009-01-02 03:45:00,Ios,Ios,Message,Low
112,2009-01-02 04:00:00,Ios,Android,Call,High
113,2009-01-02 04:15:00,Ios,Ios,Message,High
114,2009-01-02 04:30:00,Ios,Android,Call,Low
115,2009-01-02 04:45:00,Android,Ios,Message,High
116,2009-01-02 05:00:00,Ios,Android,Message,Low
117,2009-01-02 05:15:00,Ios,Android,Call,Low
118,2009-01-02 05:30:00,Ios,Android,Message,High
119,2009-01-02 05:45:00,Ios,Android,Call,Low
120,2009-01-02 06:00:00,Ios,Ios,Call,Low
121,2009-01-02 06:15:00,Ios,Android,Call,High
122,2009-01-02 06:30:00,Ios,Android,Call,Low
123,2009-01-02 06:45:00,Android,Ios,Message,High
124,2009-01-02 07:00:00,Ios,Ios,Call,Low
125,2009-01-02 07:15:00,Android,Android,Message,Low
126,2009-01-02 07:30:00,Ios,Android,Message,Low
127,2009-01-02 07:45:00,Ios,Android,Message,High
128,2009-01-02 08:00:00,Android,Android,Call,High
129,2009-01-02 08:15:00,Android,Ios,Message,Low
130,2009-01-02 08:30:00,Android,Ios,Call,Low
131,2009-01-02 08:45:00,Android,Android,Call,High
132,2009-01-02 09:00:00,Ios,Ios,Call,Low
133,2009-01-02 09:15:00,Ios,Android,Message,High
134,2009-01-02 09:30:00,Android,Android,Call,High
135,2009-01-02 09:45:00,Android,Ios,Message,Low
136,2009-01-02 10:00:00,Ios,Android,Message,Low
137,2009-01-02 10:15:00,Android,Android,Message,High
138,2009-01-02 10:30:00,Android,Android,Message,Low
139,2009-01-02 10:45:00,Ios,Ios,Message,High
140,2009-01-02 11:00:00,Android,Android,Message,Low
141,2009-01-02 11:15:00,Android,Ios,Message,Low
142,2009-01-02 11:30:00,Ios,Ios,Message,Low
143,2009-01-02 11:45:00,Android,Ios,Message,High
144,2009-01-02 12:00:00,Ios,Ios,Call,High
145,2009-01-02 12:15:00,Ios,Android,Call,High
146,2009-01-02 12:30:00,Android,Android,Call,High
147,2009-01-02 12:45:00,Android,Android,Message,Low
148,2009-01-02 13:00:00,Ios,Android,Message,Low
149,2009-01-02 13:15:00,Android,Android,Call,High
150,2009-01-02 13:30:00,Ios,Android,Call,Low
151,2009-01-02 13:45:00,Android,Ios,Call,High
152,2009-01-02 14:00:00,Ios,Android,Message,Low
153,2009-01-02 14:15:00,Android,Android,Call,High
154,2009-01-02 14:30:00,Android,Android,Message,Low
155,2009-01-02 14:45:00,Ios,Ios,Call,Low
156,2009-01-02 15:00:00,Ios,Ios,Call,High
157,2009-01-02 15:15:00,Ios,Android,Call,High
158,2009-01-02 15:30:00,Android,Android,Call,Low
159,2009-01-02 15:45:00,Ios,Ios,Call,Low
160,2009-01-02 16:00:00,Android,Ios,Message,Low
161,2009-01-02 16:15:00,Android,Android,Message,Low
162,2009-01-02 16:30:00,Android,Android,Message,Low
163,2009-01-02 16:45:00,Android,Ios,Message,Low
164,2009-01-02 17:00:00,Ios,Ios,Call,Low
165,2009-01-02 17:15:00,Ios,Android,Call,Low
166,2009-01-02 17:30:00,Android,Android,Call,High
167,2009-01-02 17:45:00,Ios,Android,Call,High
168,2009-01-02 18:00:00,Android,Ios,Call,High
169,2009-01-02 18:15:00,Ios,Android,Message,Low
170,2009-01-02 18:30:00,Android,Ios,Call,Low
171,2009-01-02 18:45:00,Android,Ios,Call,High
172,2009-01-02 19:00:00,Android,Android,Call,High
173,2009-01-02 19:15:00,Android,Android,Call,Low
174,2009-01-02 19:30:00,Android,Ios,Message,Low
175,2009-01-02 19:45:00,Ios,Ios,Message,Low
176,2009-01-02 20:00:00,Android,Ios,Message,Low
177,2009-01-02 20:15:00,Ios,Android,Call,High
178,2009-01-02 20:30:00,Android,Android,Message,Low
179,2009-01-02 20:45:00,Ios,Android,Call,High
180,2009-01-02 21:00:00,Ios,Android,Call,Low
181,2009-01-02 21:15:00,Ios,Ios,Call,Low
182,2009-01-02 21:30:00,Ios,Android,Message,High
183,2009-01-02 21:45:00,Ios,Android,Message,Low
184,2009-01-02 22:00:00,Android,Ios,Call,Low
185,2009-01-02 22:15:00,Ios,Ios,Message,Low
186,2009-01-02 22:30:00,Ios,Android,Call,High
187,2009-01-02 22:45:00,Android,Android,Call,High
188,2009-01-02 23:00:00,Ios,Ios,Call,Low
189,2009-01-02 23:15:00,Android,Ios,Call,Low
190,2009-01-02 23:30:00,Android,Android,Call,High
191,2009-01-02 23:45:00,Android,Android,Message,Low
192,2009-01-03 00:00:00,Ios,Android,Message,High
193,2009-01-03 00:15:00,Android,Ios,Message,High
194,2009-01-03 00:30:00,Android,Ios,Call,Low
195,2009-01-03 00:45:00,Ios,Ios,Call,Low
196,2009-01-03 01:00:00,Ios,Ios,Message,Low
197,2009-01-03 01:15:00,Ios,Android,Message,Low
198,2009-01-03 01:30:00,Android,Ios,Message,High
199,2009-01-03 01:45:00,Android,Ios,Message,High
200,2009-01-03 02:00:00,Ios,Ios,Call,Low
201,2009-01-03 02:15:00,Ios,Android,Message,Low
202,2009-01-03 02:30:00,Android,Android,Call,High
203,2009-01-03 02:45:00,Android,Android,Call,Low
204,2009-01-03 03:00:00,Android,Android,Message,Low
205,2009-01-03 03:15:00,Ios,Android,Message,High
206,2009-01-03 03:30:00,Android,Ios,Call,Low
207,2009-01-03 03:45:00,Ios,Ios,Message,Low
208,2009-01-03 04:00:00,Ios,Android,Call,High
209,2009-01-03 04:15:00,Android,Android,Message,High
210,2009-01-03 04:30:00,Android,Android,Message,Low
211,2009-01-03 04:45:00,Ios,Ios,Call,High
212,2009-01-03 05:00:00,Android,Android,Message,Low
213,2009-01-03 05:15:00,Android,Ios,Message,Low
214,2009-01-03 05:30:00,Android,Android,Message,Low
215,2009-01-03 05:45:00,Android,Android,Message,Low
216,2009-01-03 06:00:00,Ios,Ios,Call,High
217,2009-01-03 06:15:00,Android,Ios,Message,High
218,2009-01-03 06:30:00,Android,Ios,Call,High
219,2009-01-03 06:45:00,Ios,Ios,Call,Low
220,2009-01-03 07:00:00,Ios,Android,Call,High
221,2009-01-03 07:15:00,Android,Ios,Call,High
222,2009-01-03 07:30:00,Ios,Android,Call,High
223,2009-01-03 07:45:00,Android,Android,Call,Low
224,2009-01-03 08:00:00,Android,Android,Message,Low
225,2009-01-03 08:15:00,Ios,Ios,Call,High
226,2009-01-03 08:30:00,Android,Android,Call,High
227,2009-01-03 08:45:00,Ios,Android,Message,Low
228,2009-01-03 09:00:00,Ios,Android,Message,Low
229,2009-01-03 09:15:00,Android,Android,Message,Low
230,2009-01-03 09:30:00,Android,Ios,Message,Low
231,2009-01-03 09:45:00,Android,Ios,Message,High
232,2009-01-03 10:00:00,Ios,Android,Message,High
233,2009-01-03 10:15:00,Ios,Ios,Call,Low
234,2009-01-03 10:30:00,Ios,Ios,Message,Low
235,2009-01-03 10:45:00,Android,Android,Message,Low
236,2009-01-03 11:00:00,Ios,Android,Call,Low
237,2009-01-03 11:15:00,Ios,Ios,Call,Low
238,2009-01-03 11:30:00,Android,Ios,Call,High
239,2009-01-03 11:45:00,Android,Ios,Message,Low
240,2009-01-03 12:00:00,Ios,Ios,Call,Low
241,2009-01-03 12:15:00,Android,Android,Call,Low
242,2009-01-03 12:30:00,Ios,Android,Message,High
243,2009-01-03 12:45:00,Android,Android,Call,Low
244,2009-01-03 13:00:00,Ios,Ios,Call,Low
245,2009-01-03 13:15:00,Android,Android,Message,High
246,2009-01-03 13:30:00,Android,Ios,Call,High
247,2009-01-03 13:45:00,Ios,Android,Call,Low
248,2009-01-03 14:00:00,Android,Android,Call,Low
249,2009-01-03 14:15:00,Android,Ios,Message,High
250,2009-01-03 14:30:00,Android,Ios,Call,High
251,2009-01-03 14:45:00,Ios,Ios,Message,High
252,2009-01-03 15:00:00,Ios,Ios,Message,High
253,2009-01-03 15:15:00,Ios,Ios,Call,Low
254,2009-01-03 15:30:00,Ios,Android,Call,Low
255,2009-01-03 15:45:00,Ios,Ios,Call,High
256,2009-01-03 16:00:00,Ios,Android,Message,Low
257,2009-01-03 16:15:00,Ios,Ios,Message,High
258,2009-01-03 16:30:00,Android,Android,Message,High
259,2009-01-03 16:45:00,Ios,Ios,Call,High
260,2009-01-03 17:00:00,Android,Ios,Call,Low
261,2009-01-03 17:15:00,Ios,Ios,Call,Low
262,2009-01-03 17:30:00,Android,Android,Message,Low
263,2009-01-03 17:45:00,Ios,Android,Call,High
264,2009-01-03 18:00:00,Android,Ios,Message,Low
265,2009-01-03 18:15:00,Android,Ios,Call,Low
266,2009-01-03 18:30:00,Android,Android,Call,High
267,2009-01-03 18:45:00,Ios,Ios,Message,Low
268,2009-01-03 19:00:00,Ios,Android,Call,High
269,2009-01-03 19:15:00,Android,Android,Call,High
270,2009-01-03 19:30:00,Ios,Ios,Call,Low
271,2009-01-03 19:45:00,Android,Android,Call,High
272,2009-01-03 20:00:00,Ios,Android,Message,Low
273,2009-01-03 20:15:00,Android,Ios,Message,High
274,2009-01-03 20:30:00,Ios,Ios,Message,High
275,2009-01-03 20:45:00,Android,Ios,Call,Low
276,2009-01-03 21:00:00,Android,Android,Call,High
277,2009-01-03 21:15:00,Android,Ios,Call,Low
278,2009-01-03 21:30:00,Android,Ios,Call,Low
279,2009-01-03 21:45:00,Android,Ios,Message,High
280,2009-01-03 22:00:00,Ios,Android,Call,High
281,2009-01-03 22:15:00,Android,Ios,Message,High
282,2009-01-03 22:30:00,Ios,Ios,Call,High
283,2009-01-03 22:45:00,Android,Ios,Message,High
284,2009-01-03 23:00:00,Ios,Ios,Message,Low
285,2009-01-03 23:15:00,Android,Ios,Message,Low
286,2009-01-03 23:30:00,Android,Android,Message,High
287,2009-01-03 23:45:00,Android,Ios,Message,Low
288,2009-01-04 00:00:00,Ios,Ios,Message,Low
289,2009-01-04 00:15:00,Ios,Ios,Message,High
290,2009-01-04 00:30:00,Ios,Android,Message,High
291,2009-01-04 00:45:00,Ios,Android,Call,Low
292,2009-01-04 01:00:00,Ios,Ios,Call,Low
293,2009-01-04 01:15:00,Ios,Ios,Message,High
294,2009-01-04 01:30:00,Ios,Android,Call,High
295,2009-01-04 01:45:00,Android,Android,Call,Low
296,2009-01-04 02:00:00,Android,Android,Call,High
297,2009-01-04 02:15:00,Android,Android,Call,High
298,2009-01-04 02:30:00,Ios,Android,Message,Low
299,2009-01-04 02:45:00,Ios,Ios,Message,High
300,2009-01-04 03:00:00,Android,Ios,Message,High
301,2009-01-04 03:15:00,Ios,Android,Message,High
302,2009-01-04 03:30:00,Android,Android,Call,High
303,2009-01-04 03:45:00,Ios,Android,Message,Low
304,2009-01-04 04:00:00,Ios,Android,Call,Low
305,2009-01-04 04:15:00,Ios,Ios,Message,High
306,2009-01-04 04:30:00,Ios,Android,Message,High
307,2009-01-04 04:45:00,Ios,Android,Message,Low
308,2009-01-04 05:00:00,Android,Ios,Call,Low
309,2009-01-04 05:15:00,Android,Android,Call,Low
310,2009-01-04 05:30:00,Android,Android,Message,High
311,2009-01-04 05:45:00,Ios,Ios,Message,High
312,2009-01-04 06:00:00,Android,Android,Call,Low
313,2009-01-04 06:15:00,Android,Android,Call,Low
314,2009-01-04 06:30:00,Ios,Ios,Call,High
315,2009-01-04 06:45:00,Ios,Android,Message,Low
316,2009-01-04 07:00:00,Ios,Android,Call,Low
317,2009-01-04 07:15:00,Ios,Android,Message,Low
318,2009-01-04 07:30:00,Ios,Ios,Message,High
319,2009-01-04 07:45:00,Ios,Android,Call,High
320,2009-01-04 08:00:00,Android,Ios,Call,Low
321,2009-01-04 08:15:00,Ios,Android,Message,High
322,2009-01-04 08:30:00,Android,Android,Message,High
323,2009-01-04 08:45:00,Ios,Ios,Message,Low
324,2009-01-04 09:00:00,Android,Ios,Message,High
325,2009-01-04 09:15:00,Android,Android,Call,High
326,2009-01-04 09:30:00,Android,Android,Message,Low
327,2009-01-04 09:45:00,Ios,Ios,Message,Low
328,2009-01-04 10:00:00,Ios,Ios,Call,Low
329,2009-01-04 10:15:00,Android,Android,Message,Low
330,2009-01-04 10:30:00,Ios,Android,Message,Low
331,2009-01-04 10:45:00,Ios,Ios,Call,Low
332,2009-01-04 11:00:00,Android,Android,Call,High
333,2009-01-04 11:15:00,Ios,Ios,Call,High
334,2009-01-04 11:30:00,Android,Ios,Message,Low
335,2009-01-04 11:45:00,Android,Android,Message,Low
336,2009-01-04 12:00:00,Android,Ios,Call,High
337,2009-01-04 12:15:00,Android,Ios,Message,High
338,2009-01-04 12:30:00,Ios,Ios,Message,High
339,2009-01-04 12:45:00,Android,Android,Call,Low
340,2009-01-04 13:00:00,Ios,Ios,Message,High
341,2009-01-04 13:15:00,Ios,Android,Call,Low
342,2009-01-04 13:30:00,Ios,Android,Message,High
343,2009-01-04 13:45:00,Ios,Android,Message,Low
344,2009-01-04 14:00:00,Ios,Android,Message,High
345,2009-01-04 14:15:00,Android,Ios,Call,Low
346,2009-01-04 14:30:00,Ios,Android,Message,Low
347,2009-01-04 14:45:00,Android,Ios,Message,Low
348,2009-01-04 15:00:00,Ios,Ios,Call,Low
349,2009-01-04 15:15:00,Android,Android,Call,High
350,2009-01-04 15:30:00,Ios,Ios,Call,High
351,2009-01-04 15:45:00,Ios,Ios,Message,Low
352,2009-01-04 16:00:00,Ios,Android,Call,High
353,2009-01-04 16:15:00,Android,Android,Call,Low
354,2009-01-04 16:30:00,Android,Ios,Message,High
355,2009-01-04 16:45:00,Android,Android,Message,Low
356,2009-01-04 17:00:00,Android,Android,Message,Low
357,2009-01-04 17:15:00,Ios,Ios,Message,Low
358,2009-01-04 17:30:00,Android,Android,Call,High
359,2009-01-04 17:45:00,Ios,Android,Call,High
360,2009-01-04 18:00:00,Ios,Android,Call,High
361,2009-01-04 18:15:00,Ios,Android,Message,Low
362,2009-01-04 18:30:00,Android,Ios,Message,Low
363,2009-01-04 18:45:00,Ios,Ios,Call,High
364,2009-01-04 19:00:00,Ios,Android,Call,Low
365,2009-01-04 19:15:00,Ios,Android,Message,High
366,2009-01-04 19:30:00,Android,Android,Message,Low
367,2009-01-04 19:45:00,Android,Android,Message,High
368,2009-01-04 20:00:00,Ios,Android,Call,Low
369,2009-01-04 20:15:00,Android,Ios,Message,High
370,2009-01-04 20:30:00,Android,Ios,Message,High
371,2009-01-04 20:45:00,Android,Ios,Call,High
372,2009-01-04 21:00:00,Android,Android,Message,Low
373,2009-01-04 21:15:00,Ios,Android,Call,High
374,2009-01-04 21:30:00,Android,Ios,Message,Low
375,2009-01-04 21:45:00,Android,Ios,Message,Low
376,2009-01-04 22:00:00,Android,Android,Call,High
377,2009-01-04 22:15:00,Ios,Ios,Message,Low
378,2009-01-04 22:30:00,Ios,Android,Call,High
379,2009-01-04 22:45:00,Android,Android,Message,Low
380,2009-01-04 23:00:00,Android,Ios,Call,High
381,2009-01-04 23:15:00,Ios,Android,Call,Low
382,2009-01-04 23:30:00,Android,Ios,Message,Low
383,2009-01-04 23:45:00,Android,Android,Call,Low
384,2009-01-05 00:00:00,Ios,Ios,Call,High
385,2009-01-05 00:15:00,Android,Android,Call,Low
386,2009-01-05 00:30:00,Ios,Android,Call,High
387,2009-01-05 00:45:00,Ios,Android,Message,High
388,2009-01-05 01:00:00,Android,Android,Message,Low
389,2009-01-05 01:15:00,Android,Ios,Call,High
390,2009-01-05 01:30:00,Android,Android,Call,High
391,2009-01-05 01:45:00,Android,Android,Call,Low
392,2009-01-05 02:00:00,Ios,Ios,Message,Low
393,2009-01-05 02:15:00,Ios,Ios,Call,High
394,2009-01-05 02:30:00,Android,Ios,Message,Low
395,2009-01-05 02:45:00,Android,Ios,Message,High
396,2009-01-05 03:00:00,Ios,Ios,Message,Low
397,2009-01-05 03:15:00,Android,Android,Message,High
398,2009-01-05 03:30:00,Ios,Ios,Call,High
399,2009-01-05 03:45:00,Android,Android,Call,High
400,2009-01-05 04:00:00,Android,Android,Message,Low
401,2009-01-05 04:15:00,Ios,Ios,Message,Low
402,2009-01-05 04:30:00,Android,Android,Message,Low
403,2009-01-05 04:45:00,Android,Ios,Message,Low
404,2009-01-05 05:00:00,Ios,Android,Call,Low
405,2009-01-05 05:15:00,Android,Ios,Message,High
406,2009-01-05 05:30:00,Android,Ios,Call,Low
407,2009-01-05 05:45:00,Ios,Android,Message,High
408,2009-01-05 06:00:00,Ios,Ios,Message,High
409,2009-01-05 06:15:00,Android,Ios,Message,High
410,2009-01-05 06:30:00,Ios,Android,Message,High
411,2009-01-05 06:45:00,Android,Ios,Call,High
412,2009-01-05 07:00:00,Ios,Ios,Message,Low
413,2009-01-05 07:15:00,Android,Android,Call,High
414,2009-01-05 07:30:00,Android,Android,Call,High
415,2009-01-05 07:45:00,Ios,Ios,Message,Low
416,2009-01-05 08:00:00,Ios,Ios,Call,High
417,2009-01-05 08:15:00,Ios,Android,Message,High
418,2009-01-05 08:30:00,Android,Ios,Call,Low
419,2009-01-05 08:45:00,Ios,Ios,Message,Low
420,2009-01-05 09:00:00,Android,Android,Message,High
421,2009-01-05 09:15:00,Ios,Android,Message,High
422,2009-01-05 09:30:00,Ios,Android,Message,High
423,2009-01-05 09:45:00,Android,Ios,Message,Low
424,2009-01-05 10:00:00,Android,Ios,Call,Low
425,2009-01-05 10:15:00,Ios,Ios,Call,Low
426,2009-01-05 10:30:00,Android,Android,Call,High
427,2009-01-05 10:45:00,Android,Android,Message,Low
428,2009-01-05 11:00:00,Ios,Ios,Message,High
429,2009-01-05 11:15:00,Android,Ios,Message,High
430,2009-01-05 11:30:00,Ios,Android,Call,Low
431,2009-01-05 11:45:00,Android,Android,Message,Low
432,2009-01-05 12:00:00,Android,Ios,Call,Low
433,2009-01-05 12:15:00,Android,Ios,Call,High
434,2009-01-05 12:30:00,Ios,Ios,Message,Low
435,2009-01-05 12:45:00,Android,Android,Call,High
436,2009-01-05 13:00:00,Ios,Android,Message,High
437,2009-01-05 13:15:00,Ios,Android,Message,Low
438,2009-01-05 13:30:00,Android,Android,Message,Low
439,2009-01-05 13:45:00,Ios,Ios,Call,Low
440,2009-01-05 14:00:00,Android,Android,Call,High
441,2009-01-05 14:15:00,Ios,Ios,Call,Low
442,2009-01-05 14:30:00,Ios,Android,Message,High
443,2009-01-05 14:45:00,Android,Android,Message,High
444,2009-01-05 15:00:00,Ios,Android,Message,Low
445,2009-01-05 15:15:00,Ios,Android,Call,High
446,2009-01-05 15:30:00,Ios,Android,Call,High
447,2009-01-05 15:45:00,Android,Ios,Call,Low
448,2009-01-05 16:00:00,Ios,Ios,Call,Low
449,2009-01-05 16:15:00,Android,Ios,Call,High
450,2009-01-05 16:30:00,Android,Ios,Message,High
451,2009-01-05 16:45:00,Ios,Ios,Message,Low
452,2009-01-05 17:00:00,Android,Ios,Message,High
453,2009-01-05 17:15:00,Ios,Ios,Call,Low
454,2009-01-05 17:30:00,Android,Android,Message,High
455,2009-01-05 17:45:00,Android,Android,Call,High
456,2009-01-05 18:00:00,Android,Android,Call,Low
457,2009-01-05 18:15:00,Android,Android,Message,Low
458,2009-01-05 18:30:00,Ios,Android,Call,Low
459,2009-01-05 18:45:00,Android,Ios,Message,Low
460,2009-01-05 19:00:00,Android,Android,Message,Low
461,2009-01-05 19:15:00,Android,Android,Call,Low
462,2009-01-05 19:30:00,Android,Ios,Message,High
463,2009-01-05 19:45:00,Android,Ios,Message,Low
464,2009-01-05 20:00:00,Ios,Android,Call,High
465,2009-01-05 20:15:00,Ios,Android,Call,Low
466,2009-01-05 20:30:00,Android,Ios,Call,High
467,2009-01-05 20:45:00,Ios,Android,Call,Low
468,2009-01-05 21:00:00,Ios,Ios,Call,High
469,2009-01-05 21:15:00,Ios,Android,Message,Low
470,2009-01-05 21:30:00,Android,Ios,Message,High
471,2009-01-05 21:45:00,Android,Android,Message,High
472,2009-01-05 22:00:00,Android,Android,Call,Low
473,2009-01-05 22:15:00,Ios,Ios,Call,High
474,2009-01-05 22:30:00,Ios,Android,Call,Low
475,2009-01-05 22:45:00,Ios,Ios,Call,Low
476,2009-01-05 23:00:00,Android,Ios,Message,High
477,2009-01-05 23:15:00,Ios,Ios,Message,Low
478,2009-01-05 23:30:00,Ios,Ios,Message,High
479,2009-01-05 23:45:00,Ios,Ios,Call,Low
480,2009-01-06 00:00:00,Ios,Android,Call,High
481,2009-01-06 00:15:00,Android,Android,Call,High
482,2009-01-06 00:30:00,Android,Android,Message,High
483,2009-01-06 00:45:00,Ios,Ios,Call,Low
484,2009-01-06 01:00:00,Ios,Android,Message,Low
485,2009-01-06 01:15:00,Ios,Ios,Message,High
486,2009-01-06 01:30:00,Ios,Ios,Call,High
487,2009-01-06 01:45:00,Android,Ios,Call,Low
488,2009-01-06 02:00:00,Android,Android,Message,Low
489,2009-01-06 02:15:00,Android,Android,Call,High
490,2009-01-06 02:30:00,Ios,Android,Call,Low
491,2009-01-06 02:45:00,Android,Ios,Call,Low
492,2009-01-06 03:00:00,Android,Ios,Message,Low
493,2009-01-06 03:15:00,Android,Ios,Message,Low
494,2009-01-06 03:30:00,Android,Ios,Call,High
495,2009-01-06 03:45:00,Ios,Ios,Call,High
496,2009-01-06 04:00:00,Android,Android,Message,High
497,2009-01-06 04:15:00,Android,Android,Call,High
498,2009-01-06 04:30:00,Android,Ios,Call,High
499,2009-01-06 04:45:00,Android,Ios,Message,Low
500,2009-01-06 05:00:00,Android,Ios,Message,Low
501,2009-01-06 05:15:00,Ios,Android,Call,High
502,2009-01-06 05:30:00,Ios,Ios,Message,Low
503,2009-01-06 05:45:00,Android,Ios,Message,Low
504,2009-01-06 06:00:00,Android,Ios,Call,High
505,2009-01-06 06:15:00,Ios,Android,Message,High
506,2009-01-06 06:30:00,Ios,Ios,Call,Low
