No.,Time,Source,Destination,Protocol,Length,ActionType
71,2020-10-19T17:24:41.738,127.0.0.1,127.0.0.1,TCP,137,4
72,2020-10-19T17:24:41.738,127.0.0.1,127.0.0.1,TCP,43,2
73,2020-10-19T17:24:41.738,127.0.0.1,127.0.0.1,TCP,43,2
74,2020-10-19T17:24:41.753,127.0.0.1,127.0.0.1,TCP,43,2
75,2020-10-19T17:24:41.769,127.0.0.1,127.0.0.1,TCP,112,0
76,2020-10-19T17:24:41.972,127.0.0.1,127.0.0.1,TCP,141,1
77,2020-10-19T17:24:42.019,127.0.0.1,127.0.0.1,TCP,137,4
78,2020-10-19T17:24:42.019,127.0.0.1,127.0.0.1,TCP,43,2
79,2020-10-19T17:24:42.019,127.0.0.1,127.0.0.1,TCP,43,2
80,2020-10-19T17:24:42.034,127.0.0.1,127.0.0.1,TCP,43,2
81,2020-10-19T17:24:42.034,127.0.0.1,127.0.0.1,TCP,112,0
82,2020-10-19T17:24:42.252,127.0.0.1,127.0.0.1,TCP,141,1
83,2020-10-19T17:24:42.298,127.0.0.1,127.0.0.1,TCP,137,4
84,2020-10-19T17:24:42.298,127.0.0.1,127.0.0.1,TCP,43,2
85,2020-10-19T17:24:42.486,127.0.0.1,127.0.0.1,TCP,43,2
86,2020-10-19T17:24:42.502,127.0.0.1,127.0.0.1,TCP,43,2
87,2020-10-19T17:24:42.502,127.0.0.1,127.0.0.1,TCP,112,0
88,2020-10-19T17:24:42.720,127.0.0.1,127.0.0.1,TCP,141,1
89,2020-10-19T17:24:42.752,127.0.0.1,127.0.0.1,TCP,137,4
90,2020-10-19T17:24:42.752,127.0.0.1,127.0.0.1,TCP,43,2
91,2020-10-19T17:24:42.752,127.0.0.1,127.0.0.1,TCP,43,2
92,2020-10-19T17:24:42.767,127.0.0.1,127.0.0.1,TCP,43,2
93,2020-10-19T17:24:42.783,127.0.0.1,127.0.0.1,TCP,112,0
94,2020-10-19T17:24:43.002,127.0.0.1,127.0.0.1,TCP,141,1
95,2020-10-19T17:24:43.049,127.0.0.1,127.0.0.1,TCP,137,4
96,2020-10-19T17:24:43.049,127.0.0.1,127.0.0.1,TCP,43,2
97,2020-10-19T17:24:43.049,127.0.0.1,127.0.0.1,TCP,43,2
98,2020-10-19T17:24:43.189,127.0.0.1,127.0.0.1,TCP,43,2
99,2020-10-19T17:24:43.308,127.0.0.1,127.0.0.1,TCP,112,0
100,2020-10-19T17:24:43.511,127.0.0.1,127.0.0.1,TCP,141,1
101,2020-10-19T17:24:43.558,127.0.0.1,127.0.0.1,TCP,137,4
102,2020-10-19T17:24:43.558,127.0.0.1,127.0.0.1,TCP,43,2
103,2020-10-19T17:24:43.573,127.0.0.1,127.0.0.1,TCP,43,2
104,2020-10-19T17:24:43.573,127.0.0.1,127.0.0.1,TCP,43,2
105,2020-10-19T17:24:43.651,127.0.0.1,127.0.0.1,TCP,112,0
106,2020-10-19T17:24:43.870,127.0.0.1,127.0.0.1,TCP,141,1
107,2020-10-19T17:24:43.917,127.0.0.1,127.0.0.1,TCP,137,4
108,2020-10-19T17:24:43.917,127.0.0.1,127.0.0.1,TCP,43,2
109,2020-10-19T17:24:43.917,127.0.0.1,127.0.0.1,TCP,43,2
110,2020-10-19T17:24:43.933,127.0.0.1,127.0.0.1,TCP,43,2
111,2020-10-19T17:24:43.948,127.0.0.1,127.0.0.1,TCP,112,0
112,2020-10-19T17:24:44.167,127.0.0.1,127.0.0.1,TCP,141,1
113,2020-10-19T17:24:44.198,127.0.0.1,127.0.0.1,TCP,137,4
114,2020-10-19T17:24:44.198,127.0.0.1,127.0.0.1,TCP,43,2
115,2020-10-19T17:24:44.214,127.0.0.1,127.0.0.1,TCP,43,2
116,2020-10-19T17:24:44.214,127.0.0.1,127.0.0.1,TCP,43,2
117,2020-10-19T17:24:44.214,127.0.0.1,127.0.0.1,TCP,112,0
118,2020-10-19T17:24:44.431,127.0.0.1,127.0.0.1,TCP,141,1
119,2020-10-19T17:24:44.478,127.0.0.1,127.0.0.1,TCP,137,4
120,2020-10-19T17:24:44.478,127.0.0.1,127.0.0.1,TCP,43,2
121,2020-10-19T17:24:44.650,127.0.0.1,127.0.0.1,TCP,43,2
122,2020-10-19T17:24:44.650,127.0.0.1,127.0.0.1,TCP,43,2
123,2020-10-19T17:24:44.666,127.0.0.1,127.0.0.1,TCP,112,0
124,2020-10-19T17:24:44.869,127.0.0.1,127.0.0.1,TCP,141,1
125,2020-10-19T17:24:44.931,127.0.0.1,127.0.0.1,TCP,137,4
126,2020-10-19T17:24:44.931,127.0.0.1,127.0.0.1,TCP,43,2
127,2020-10-19T17:24:44.931,127.0.0.1,127.0.0.1,TCP,43,2
128,2020-10-19T17:24:44.947,127.0.0.1,127.0.0.1,TCP,43,2
129,2020-10-19T17:24:44.963,127.0.0.1,127.0.0.1,TCP,112,0
130,2020-10-19T17:24:45.166,127.0.0.1,127.0.0.1,TCP,141,1
131,2020-10-19T17:24:45.213,127.0.0.1,127.0.0.1,TCP,137,4
132,2020-10-19T17:24:45.213,127.0.0.1,127.0.0.1,TCP,43,2
133,2020-10-19T17:24:45.213,127.0.0.1,127.0.0.1,TCP,43,2
134,2020-10-19T17:24:45.338,127.0.0.1,127.0.0.1,TCP,43,2
135,2020-10-19T17:24:45.457,127.0.0.1,127.0.0.1,TCP,112,0
136,2020-10-19T17:24:45.660,127.0.0.1,127.0.0.1,TCP,141,1
137,2020-10-19T17:24:45.707,127.0.0.1,127.0.0.1,TCP,137,4
138,2020-10-19T17:24:45.707,127.0.0.1,127.0.0.1,TCP,43,2
139,2020-10-19T17:24:45.707,127.0.0.1,127.0.0.1,TCP,43,2
140,2020-10-19T17:24:45.722,127.0.0.1,127.0.0.1,TCP,43,2
141,2020-10-19T17:24:45.800,127.0.0.1,127.0.0.1,TCP,112,0
142,2020-10-19T17:24:46.004,127.0.0.1,127.0.0.1,TCP,141,1
143,2020-10-19T17:24:46.051,127.0.0.1,127.0.0.1,TCP,137,4
144,2020-10-19T17:24:46.051,127.0.0.1,127.0.0.1,TCP,43,2
145,2020-10-19T17:24:46.051,127.0.0.1,127.0.0.1,TCP,43,2
146,2020-10-19T17:24:46.066,127.0.0.1,127.0.0.1,TCP,43,2
147,2020-10-19T17:24:46.082,127.0.0.1,127.0.0.1,TCP,112,0
148,2020-10-19T17:24:46.301,127.0.0.1,127.0.0.1,TCP,141,1
149,2020-10-19T17:24:46.332,127.0.0.1,127.0.0.1,TCP,137,4
150,2020-10-19T17:24:46.332,127.0.0.1,127.0.0.1,TCP,43,2
151,2020-10-19T17:24:46.332,127.0.0.1,127.0.0.1,TCP,43,2
152,2020-10-19T17:24:46.348,127.0.0.1,127.0.0.1,TCP,43,2
153,2020-10-19T17:24:46.348,127.0.0.1,127.0.0.1,TCP,112,0
154,2020-10-19T17:24:46.565,127.0.0.1,127.0.0.1,TCP,141,1
155,2020-10-19T17:24:46.612,127.0.0.1,127.0.0.1,TCP,137,4
156,2020-10-19T17:24:46.612,127.0.0.1,127.0.0.1,TCP,43,2
157,2020-10-19T17:24:46.784,127.0.0.1,127.0.0.1,TCP,43,2
158,2020-10-19T17:24:46.799,127.0.0.1,127.0.0.1,TCP,43,2
159,2020-10-19T17:24:46.815,127.0.0.1,127.0.0.1,TCP,112,0
160,2020-10-19T17:24:47.034,127.0.0.1,127.0.0.1,TCP,141,1
161,2020-10-19T17:24:47.081,127.0.0.1,127.0.0.1,TCP,137,4
162,2020-10-19T17:24:47.081,127.0.0.1,127.0.0.1,TCP,43,2
163,2020-10-19T17:24:47.081,127.0.0.1,127.0.0.1,TCP,43,2
164,2020-10-19T17:24:47.096,127.0.0.1,127.0.0.1,TCP,43,2
165,2020-10-19T17:24:47.112,127.0.0.1,127.0.0.1,TCP,112,0
166,2020-10-19T17:24:47.315,127.0.0.1,127.0.0.1,TCP,141,1
167,2020-10-19T17:24:47.362,127.0.0.1,127.0.0.1,TCP,137,4
168,2020-10-19T17:24:47.362,127.0.0.1,127.0.0.1,TCP,43,2
169,2020-10-19T17:24:47.362,127.0.0.1,127.0.0.1,TCP,43,2
170,2020-10-19T17:24:47.487,127.0.0.1,127.0.0.1,TCP,43,2
171,2020-10-19T17:24:47.595,127.0.0.1,127.0.0.1,TCP,112,0
172,2020-10-19T17:24:47.814,127.0.0.1,127.0.0.1,TCP,141,1
173,2020-10-19T17:24:47.845,127.0.0.1,127.0.0.1,TCP,137,4
174,2020-10-19T17:24:47.845,127.0.0.1,127.0.0.1,TCP,43,2
175,2020-10-19T17:24:47.853,127.0.0.1,127.0.0.1,TCP,43,2
176,2020-10-19T17:24:47.853,127.0.0.1,127.0.0.1,TCP,43,2
177,2020-10-19T17:24:47.916,127.0.0.1,127.0.0.1,TCP,112,0
178,2020-10-19T17:24:48.119,127.0.0.1,127.0.0.1,TCP,141,1
179,2020-10-19T17:24:48.182,127.0.0.1,127.0.0.1,TCP,137,4
180,2020-10-19T17:24:48.182,127.0.0.1,127.0.0.1,TCP,43,2
181,2020-10-19T17:24:48.182,127.0.0.1,127.0.0.1,TCP,43,2
182,2020-10-19T17:24:48.197,127.0.0.1,127.0.0.1,TCP,43,2
183,2020-10-19T17:24:48.213,127.0.0.1,127.0.0.1,TCP,112,0
184,2020-10-19T17:24:48.416,127.0.0.1,127.0.0.1,TCP,141,1
185,2020-10-19T17:24:48.463,127.0.0.1,127.0.0.1,TCP,137,4
186,2020-10-19T17:24:48.463,127.0.0.1,127.0.0.1,TCP,43,2
187,2020-10-19T17:24:48.463,127.0.0.1,127.0.0.1,TCP,43,2
188,2020-10-19T17:24:48.478,127.0.0.1,127.0.0.1,TCP,43,2
189,2020-10-19T17:24:48.478,127.0.0.1,127.0.0.1,TCP,112,0
190,2020-10-19T17:24:48.696,127.0.0.1,127.0.0.1,TCP,141,1
191,2020-10-19T17:24:48.743,127.0.0.1,127.0.0.1,TCP,137,4
192,2020-10-19T17:24:48.743,127.0.0.1,127.0.0.1,TCP,43,2
193,2020-10-19T17:24:48.932,127.0.0.1,127.0.0.1,TCP,43,2
194,2020-10-19T17:24:48.947,127.0.0.1,127.0.0.1,TCP,43,2
195,2020-10-19T17:24:48.947,127.0.0.1,127.0.0.1,TCP,112,0
196,2020-10-19T17:24:49.166,127.0.0.1,127.0.0.1,TCP,141,1
197,2020-10-19T17:24:49.197,127.0.0.1,127.0.0.1,TCP,137,4
198,2020-10-19T17:24:49.197,127.0.0.1,127.0.0.1,TCP,43,2
199,2020-10-19T17:24:49.197,127.0.0.1,127.0.0.1,TCP,43,2
200,2020-10-19T17:24:49.213,127.0.0.1,127.0.0.1,TCP,43,2
201,2020-10-19T17:24:49.229,127.0.0.1,127.0.0.1,TCP,112,0
202,2020-10-19T17:24:49.429,127.0.0.1,127.0.0.1,TCP,141,1
203,2020-10-19T17:24:49.507,127.0.0.1,127.0.0.1,TCP,137,4
204,2020-10-19T17:24:49.507,127.0.0.1,127.0.0.1,TCP,43,2
205,2020-10-19T17:24:49.523,127.0.0.1,127.0.0.1,TCP,43,2
206,2020-10-19T17:24:49.648,127.0.0.1,127.0.0.1,TCP,43,2
207,2020-10-19T17:24:49.750,127.0.0.1,127.0.0.1,TCP,112,0
208,2020-10-19T17:24:49.954,127.0.0.1,127.0.0.1,TCP,141,1
209,2020-10-19T17:24:50.001,127.0.0.1,127.0.0.1,TCP,137,4
210,2020-10-19T17:24:50.001,127.0.0.1,127.0.0.1,TCP,43,2
211,2020-10-19T17:24:50.001,127.0.0.1,127.0.0.1,TCP,43,2
212,2020-10-19T17:24:50.016,127.0.0.1,127.0.0.1,TCP,43,2
213,2020-10-19T17:24:50.095,127.0.0.1,127.0.0.1,TCP,112,0
214,2020-10-19T17:24:50.298,127.0.0.1,127.0.0.1,TCP,141,1
215,2020-10-19T17:24:50.345,127.0.0.1,127.0.0.1,TCP,137,4
216,2020-10-19T17:24:50.345,127.0.0.1,127.0.0.1,TCP,43,2
217,2020-10-19T17:24:50.345,127.0.0.1,127.0.0.1,TCP,43,2
218,2020-10-19T17:24:50.360,127.0.0.1,127.0.0.1,TCP,43,2
219,2020-10-19T17:24:50.376,127.0.0.1,127.0.0.1,TCP,112,0
220,2020-10-19T17:24:50.579,127.0.0.1,127.0.0.1,TCP,141,1
221,2020-10-19T17:24:50.626,127.0.0.1,127.0.0.1,TCP,137,4
222,2020-10-19T17:24:50.626,127.0.0.1,127.0.0.1,TCP,43,2
223,2020-10-19T17:24:50.626,127.0.0.1,127.0.0.1,TCP,43,2
224,2020-10-19T17:24:50.641,127.0.0.1,127.0.0.1,TCP,43,2
225,2020-10-19T17:24:50.641,127.0.0.1,127.0.0.1,TCP,112,0
226,2020-10-19T17:24:50.859,127.0.0.1,127.0.0.1,TCP,141,1
227,2020-10-19T17:24:50.906,127.0.0.1,127.0.0.1,TCP,137,4
228,2020-10-19T17:24:50.906,127.0.0.1,127.0.0.1,TCP,43,2
229,2020-10-19T17:24:51.046,127.0.0.1,127.0.0.1,TCP,43,2
230,2020-10-19T17:24:51.062,127.0.0.1,127.0.0.1,TCP,43,2
231,2020-10-19T17:24:51.062,127.0.0.1,127.0.0.1,TCP,112,0
232,2020-10-19T17:24:51.265,127.0.0.1,127.0.0.1,TCP,141,1
233,2020-10-19T17:24:51.312,127.0.0.1,127.0.0.1,TCP,137,4
234,2020-10-19T17:24:51.312,127.0.0.1,127.0.0.1,TCP,43,2
235,2020-10-19T17:24:51.312,127.0.0.1,127.0.0.1,TCP,43,2
236,2020-10-19T17:24:51.328,127.0.0.1,127.0.0.1,TCP,43,2
237,2020-10-19T17:24:51.343,127.0.0.1,127.0.0.1,TCP,112,0
238,2020-10-19T17:24:51.546,127.0.0.1,127.0.0.1,TCP,141,1
239,2020-10-19T17:24:51.593,127.0.0.1,127.0.0.1,TCP,137,4
240,2020-10-19T17:24:51.593,127.0.0.1,127.0.0.1,TCP,43,2
241,2020-10-19T17:24:51.593,127.0.0.1,127.0.0.1,TCP,43,2
242,2020-10-19T17:24:51.703,127.0.0.1,127.0.0.1,TCP,43,2
243,2020-10-19T17:24:51.796,127.0.0.1,127.0.0.1,TCP,112,0
244,2020-10-19T17:24:52.014,127.0.0.1,127.0.0.1,TCP,141,1
245,2020-10-19T17:24:52.061,127.0.0.1,127.0.0.1,TCP,137,4
246,2020-10-19T17:24:52.061,127.0.0.1,127.0.0.1,TCP,43,2
247,2020-10-19T17:24:52.076,127.0.0.1,127.0.0.1,TCP,43,2
248,2020-10-19T17:24:52.076,127.0.0.1,127.0.0.1,TCP,43,2
249,2020-10-19T17:24:52.154,127.0.0.1,127.0.0.1,TCP,112,0
250,2020-10-19T17:24:52.357,127.0.0.1,127.0.0.1,TCP,141,1
251,2020-10-19T17:24:52.404,127.0.0.1,127.0.0.1,TCP,137,4
252,2020-10-19T17:24:52.404,127.0.0.1,127.0.0.1,TCP,43,2
253,2020-10-19T17:24:52.404,127.0.0.1,127.0.0.1,TCP,43,2
254,2020-10-19T17:24:52.420,127.0.0.1,127.0.0.1,TCP,43,2
255,2020-10-19T17:24:52.436,127.0.0.1,127.0.0.1,TCP,112,0
256,2020-10-19T17:24:52.654,127.0.0.1,127.0.0.1,TCP,141,1
257,2020-10-19T17:24:52.686,127.0.0.1,127.0.0.1,TCP,137,4
258,2020-10-19T17:24:52.686,127.0.0.1,127.0.0.1,TCP,43,2
259,2020-10-19T17:24:52.686,127.0.0.1,127.0.0.1,TCP,43,2
260,2020-10-19T17:24:52.701,127.0.0.1,127.0.0.1,TCP,43,2
261,2020-10-19T17:24:52.701,127.0.0.1,127.0.0.1,TCP,112,0
262,2020-10-19T17:24:52.904,127.0.0.1,127.0.0.1,TCP,141,1
263,2020-10-19T17:24:52.951,127.0.0.1,127.0.0.1,TCP,137,4
264,2020-10-19T17:24:52.951,127.0.0.1,127.0.0.1,TCP,43,2
265,2020-10-19T17:24:53.092,127.0.0.1,127.0.0.1,TCP,43,2
266,2020-10-19T17:24:53.101,127.0.0.1,127.0.0.1,TCP,43,2
267,2020-10-19T17:24:53.117,127.0.0.1,127.0.0.1,TCP,112,0
268,2020-10-19T17:24:53.336,127.0.0.1,127.0.0.1,TCP,141,1
269,2020-10-19T17:24:53.367,127.0.0.1,127.0.0.1,TCP,137,4
270,2020-10-19T17:24:53.367,127.0.0.1,127.0.0.1,TCP,43,2
271,2020-10-19T17:24:53.367,127.0.0.1,127.0.0.1,TCP,43,2
272,2020-10-19T17:24:53.383,127.0.0.1,127.0.0.1,TCP,43,2
273,2020-10-19T17:24:53.398,127.0.0.1,127.0.0.1,TCP,112,0
274,2020-10-19T17:24:53.602,127.0.0.1,127.0.0.1,TCP,141,1
275,2020-10-19T17:24:53.648,127.0.0.1,127.0.0.1,TCP,137,4
276,2020-10-19T17:24:53.648,127.0.0.1,127.0.0.1,TCP,43,2
277,2020-10-19T17:24:53.648,127.0.0.1,127.0.0.1,TCP,43,2
278,2020-10-19T17:24:53.758,127.0.0.1,127.0.0.1,TCP,43,2
279,2020-10-19T17:24:53.852,127.0.0.1,127.0.0.1,TCP,112,0
280,2020-10-19T17:24:54.055,127.0.0.1,127.0.0.1,TCP,141,1
281,2020-10-19T17:24:54.117,127.0.0.1,127.0.0.1,TCP,137,4
282,2020-10-19T17:24:54.124,127.0.0.1,127.0.0.1,TCP,43,2
283,2020-10-19T17:24:54.125,127.0.0.1,127.0.0.1,TCP,43,2
284,2020-10-19T17:24:54.141,127.0.0.1,127.0.0.1,TCP,43,2
285,2020-10-19T17:24:54.206,127.0.0.1,127.0.0.1,TCP,112,0
286,2020-10-19T17:24:54.424,127.0.0.1,127.0.0.1,TCP,141,1
287,2020-10-19T17:24:54.471,127.0.0.1,127.0.0.1,TCP,137,4
288,2020-10-19T17:24:54.471,127.0.0.1,127.0.0.1,TCP,43,2
289,2020-10-19T17:24:54.471,127.0.0.1,127.0.0.1,TCP,43,2
290,2020-10-19T17:24:54.487,127.0.0.1,127.0.0.1,TCP,43,2
291,2020-10-19T17:24:54.502,127.0.0.1,127.0.0.1,TCP,112,0
292,2020-10-19T17:24:54.706,127.0.0.1,127.0.0.1,TCP,141,1
293,2020-10-19T17:24:54.752,127.0.0.1,127.0.0.1,TCP,137,4
294,2020-10-19T17:24:54.752,127.0.0.1,127.0.0.1,TCP,43,2
295,2020-10-19T17:24:54.752,127.0.0.1,127.0.0.1,TCP,43,2
296,2020-10-19T17:24:54.768,127.0.0.1,127.0.0.1,TCP,43,2
297,2020-10-19T17:24:54.768,127.0.0.1,127.0.0.1,TCP,112,0
298,2020-10-19T17:24:54.971,127.0.0.1,127.0.0.1,TCP,141,1
299,2020-10-19T17:24:55.018,127.0.0.1,127.0.0.1,TCP,137,4
300,2020-10-19T17:24:55.018,127.0.0.1,127.0.0.1,TCP,43,2
301,2020-10-19T17:24:55.159,127.0.0.1,127.0.0.1,TCP,43,2
302,2020-10-19T17:24:55.168,127.0.0.1,127.0.0.1,TCP,43,2
303,2020-10-19T17:24:55.183,127.0.0.1,127.0.0.1,TCP,112,0
304,2020-10-19T17:24:55.390,127.0.0.1,127.0.0.1,TCP,141,1
305,2020-10-19T17:24:55.437,127.0.0.1,127.0.0.1,TCP,137,4
306,2020-10-19T17:24:55.437,127.0.0.1,127.0.0.1,TCP,43,2
307,2020-10-19T17:24:55.437,127.0.0.1,127.0.0.1,TCP,43,2
308,2020-10-19T17:24:55.453,127.0.0.1,127.0.0.1,TCP,43,2
309,2020-10-19T17:24:55.468,127.0.0.1,127.0.0.1,TCP,112,0
310,2020-10-19T17:24:55.682,127.0.0.1,127.0.0.1,TCP,141,1
311,2020-10-19T17:24:55.722,127.0.0.1,127.0.0.1,TCP,137,4
312,2020-10-19T17:24:55.722,127.0.0.1,127.0.0.1,TCP,43,2
313,2020-10-19T17:24:55.728,127.0.0.1,127.0.0.1,TCP,43,2
314,2020-10-19T17:24:55.835,127.0.0.1,127.0.0.1,TCP,43,2
315,2020-10-19T17:24:55.927,127.0.0.1,127.0.0.1,TCP,112,0
316,2020-10-19T17:24:56.128,127.0.0.1,127.0.0.1,TCP,141,1
317,2020-10-19T17:24:56.222,127.0.0.1,127.0.0.1,TCP,137,4
318,2020-10-19T17:24:56.223,127.0.0.1,127.0.0.1,TCP,43,2
319,2020-10-19T17:24:56.224,127.0.0.1,127.0.0.1,TCP,43,2
320,2020-10-19T17:24:56.224,127.0.0.1,127.0.0.1,TCP,43,2
321,2020-10-19T17:24:56.318,127.0.0.1,127.0.0.1,TCP,112,0
322,2020-10-19T17:24:56.535,127.0.0.1,127.0.0.1,TCP,141,1
323,2020-10-19T17:24:56.582,127.0.0.1,127.0.0.1,TCP,137,4
324,2020-10-19T17:24:56.582,127.0.0.1,127.0.0.1,TCP,43,2
325,2020-10-19T17:24:56.582,127.0.0.1,127.0.0.1,TCP,43,2
326,2020-10-19T17:24:56.597,127.0.0.1,127.0.0.1,TCP,43,2
327,2020-10-19T17:24:56.613,127.0.0.1,127.0.0.1,TCP,112,0
328,2020-10-19T17:24:56.832,127.0.0.1,127.0.0.1,TCP,141,1
329,2020-10-19T17:24:56.879,127.0.0.1,127.0.0.1,TCP,137,4
330,2020-10-19T17:24:56.879,127.0.0.1,127.0.0.1,TCP,43,2
331,2020-10-19T17:24:56.879,127.0.0.1,127.0.0.1,TCP,43,2
332,2020-10-19T17:24:56.894,127.0.0.1,127.0.0.1,TCP,43,2
333,2020-10-19T17:24:56.894,127.0.0.1,127.0.0.1,TCP,112,0
334,2020-10-19T17:24:57.104,127.0.0.1,127.0.0.1,TCP,141,1
335,2020-10-19T17:24:57.151,127.0.0.1,127.0.0.1,TCP,137,4
336,2020-10-19T17:24:57.151,127.0.0.1,127.0.0.1,TCP,43,2
337,2020-10-19T17:24:57.326,127.0.0.1,127.0.0.1,TCP,43,2
338,2020-10-19T17:24:57.327,127.0.0.1,127.0.0.1,TCP,43,2
339,2020-10-19T17:24:57.343,127.0.0.1,127.0.0.1,TCP,112,0
